Bitrate report (Dt=5.5s)
UE 17921: TX=28.822 Mbps  RX=1.722 Mbps
UE 17922: TX=0.064 Mbps  RX=0.000 Mbps
UE 17923: TX=0.064 Mbps  RX=0.001 Mbps
UE 17924: TX=0.064 Mbps  RX=0.001 Mbps
UE 17925: TX=0.064 Mbps  RX=0.002 Mbps
UE 17926: TX=0.063 Mbps  RX=0.000 Mbps
UE 17927: TX=0.064 Mbps  RX=0.000 Mbps
UE 17928: TX=0.064 Mbps  RX=0.000 Mbps
UE 17929: TX=0.064 Mbps  RX=0.000 Mbps
UE 17930: TX=0.064 Mbps  RX=0.001 Mbps
UE 17931: TX=0.064 Mbps  RX=0.000 Mbps
UE 17932: TX=0.064 Mbps  RX=0.002 Mbps
UE 17933: TX=0.064 Mbps  RX=0.001 Mbps
UE 17934: TX=0.064 Mbps  RX=0.000 Mbps
UE 17935: TX=0.064 Mbps  RX=0.000 Mbps
UE 17936: TX=0.064 Mbps  RX=0.000 Mbps
UE 17937: TX=0.063 Mbps  RX=0.000 Mbps
UE 17938: TX=0.064 Mbps  RX=0.000 Mbps
UE 17939: TX=0.064 Mbps  RX=0.000 Mbps
UE 17940: TX=0.064 Mbps  RX=0.000 Mbps
UE 17941: TX=0.064 Mbps  RX=0.000 Mbps
UE 17942: TX=0.064 Mbps  RX=0.001 Mbps
UE 17943: TX=0.064 Mbps  RX=0.000 Mbps
UE 17944: TX=0.064 Mbps  RX=0.002 Mbps
UE 17945: TX=0.064 Mbps  RX=0.000 Mbps
UE 17946: TX=0.064 Mbps  RX=0.001 Mbps
UE 17947: TX=0.064 Mbps  RX=0.000 Mbps
UE 17948: TX=0.064 Mbps  RX=0.000 Mbps
UE 17949: TX=0.064 Mbps  RX=0.000 Mbps
UE 17950: TX=0.064 Mbps  RX=0.002 Mbps
UE 17951: TX=0.064 Mbps  RX=0.000 Mbps
UE 17952: TX=0.064 Mbps  RX=0.002 Mbps
UE 17953: TX=0.064 Mbps  RX=0.002 Mbps
UE 17954: TX=0.064 Mbps  RX=0.000 Mbps
UE 17955: TX=0.064 Mbps  RX=0.001 Mbps
UE 17956: TX=0.064 Mbps  RX=0.001 Mbps
UE 17957: TX=0.064 Mbps  RX=0.000 Mbps
UE 17958: TX=0.064 Mbps  RX=0.001 Mbps
UE 17959: TX=0.064 Mbps  RX=0.000 Mbps
UE 17960: TX=0.064 Mbps  RX=0.000 Mbps
UE 17961: TX=0.064 Mbps  RX=0.000 Mbps
UE 17962: TX=0.064 Mbps  RX=0.000 Mbps
UE 17963: TX=0.064 Mbps  RX=0.000 Mbps
UE 17964: TX=0.064 Mbps  RX=0.000 Mbps
UE 17965: TX=0.064 Mbps  RX=0.000 Mbps
UE 17966: TX=0.064 Mbps  RX=0.002 Mbps
UE 17967: TX=0.064 Mbps  RX=0.001 Mbps
UE 17968: TX=0.064 Mbps  RX=0.001 Mbps
UE 17969: TX=0.064 Mbps  RX=0.000 Mbps
UE 17970: TX=0.064 Mbps  RX=0.001 Mbps
